"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Florida","Georgia","Hawaii","Illinois","Indiana","Iowa","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Nebraska",2.62309780250075,3.84184989405821,3.09949524525518,1.69207966689328,3.93749581756602,2.94626957838079,4.23328161151053,3.38609771449167,1.62094369905476,2.74095404517241,0.845052429769767,0.964281635981012,1.40146898273268,3.12569391775311,1.29564283400611,3.07482234425452,1.64195189132823,3.290076482327,0.597275323304386,3.47204589817951,1.93170499004625,0.722520618040846,0,4.18642776812895,1.10935520176366,2.07277891644143,3.191724528305,3.03150708545197,3.58228396373747,1.86420052131612,1.23971164297987,0.949547318370349,1.54319188657183,0.829860673851097,2.07857206898393,3.29675485115061,1.22663073100565,2.5176778452237,2.71084739266186,1.42182275333615,2.23729207197957,1.22932519303305,1.35688501265829,1.76702460958737,0.95392209070659,0.910925085417716
"Nevada",3.0398354035963,2.28296786207489,1.89466004814629,3.63203054310481,1.17494825209454,1.37799216321848,1.91563145603915,2.84732810889319,3.95593161972165,2.34710605997647,3.46199076769906,5.1288019704087,4.07966914532337,2.7884339194619,5.41466683161848,2.21083834179908,3.79157485919742,1.23680006033417,4.55856971643738,4.02022134016959,2.30540052743732,4.24056417854658,4.18642776812895,0,5.29009912726427,3.28744085659797,1.68957523119751,2.12855305642185,4.08862652744443,5.93921906088781,3.23424358525767,3.35010778945324,2.81000812000457,3.96728321197201,4.5418429107305,3.36807908549593,5.04185172923942,2.61061737656639,2.23552386700876,3.52942636039911,5.92189440073089,3.23740738422382,3.10648489304792,5.38484286307877,4.98615621913681,3.84743622130932
"New Hampshire",3.50755154196075,4.77864629374759,4.15844681352427,2.45347445412313,5.02443847069541,4.03490518389466,5.28317390274917,4.28345537548007,2.25792847665508,3.77455405499877,1.89615513570207,0.201994241334575,1.98368977282332,4.05475021874371,0.487852894706107,4.09194557542143,2.39776074668995,4.3863960719399,0.906717393922233,4.1268891582704,3.03449446506312,1.31236026387283,1.10935520176366,5.29009912726427,0,2.95920535741737,4.25884120129669,4.07817146255058,4.2395235556853,0.900548159899354,2.26530417697428,2.03154773691375,2.58800671264356,1.64897074781935,2.51671032401809,4.09330950796419,0.965235849714105,3.47804121925208,3.75203377900539,2.27754802841124,1.62670000554457,2.25100241336839,2.3722023898082,1.43341440886876,0.696813876945725,1.76457844497257
"New Jersey",2.63815859573807,4.08654443085057,2.13125136048282,2.66680199843569,2.69530764804764,2.278985134087,3.13523031993542,3.14218822678344,1.47423433844749,1.42897332448319,1.71752151525913,2.84688234720066,2.62155282410936,2.63403575322333,3.17836818985842,2.5700979391031,0.786985374894288,2.51989965724033,2.17758820015432,3.80368586476505,1.66876863630036,2.52297894668165,2.07277891644143,3.28744085659797,2.95920535741737,0,2.56755893577801,1.60570899355236,3.84936372352204,3.82694430790995,1.08181122762246,1.43191329736261,1.92923296869065,1.38675250202411,1.44475358848946,3.50168967533617,3.24774583870064,2.57691470521341,1.59775611301264,1.29273033617972,4.29083728120639,1.77705629025783,1.54357309100187,3.64380051702391,2.41522753462012,1.98288554433317
"New Mexico",1.56704624896317,2.01140460998937,1.01902405108515,2.26874007371511,1.75944718822183,1.51841457169379,1.27397039198883,1.87132144783895,3.48158892890038,1.30978007826045,2.54156309166307,4.13814343295675,2.93796130390676,1.46788457655816,4.26822306753963,0.524928586680527,2.97364040029476,0.566317275950151,3.67301032256893,2.60041976550249,1.42967985936228,3.12965256602117,3.191724528305,1.68957523119751,4.25884120129669,2.56755893577801,0,1.29994017427939,2.47878652176794,4.85421011730414,2.44854662070955,2.3009490176248,2.12078231301075,3.00565457058221,3.54087523564997,1.91570237838945,3.91976232495218,1.5196467625762,1.41120329158185,2.93409460979211,4.84205777107805,2.09291338703238,2.44002563578699,4.18052779369913,4.05999286173622,2.58050512176234
"New York",2.01962441525119,3.21269688564303,1.05448901543765,2.67827238031506,1.64905697506965,1.70540896962125,1.54662464827731,2.31498555284156,2.85099490467894,0.343368072805118,2.40964770167383,3.96301177482508,3.04650454728408,1.71244460981925,4.17522450742534,1.39891008738143,2.21325978781746,1.2621997902673,3.37613429853854,3.18672820645192,1.49321117800374,3.1934805697707,3.03150708545197,2.12855305642185,4.07817146255058,1.60570899355236,1.29994017427939,0,3.13560598479096,4.83311748092279,2.0030120951709,2.09330437665161,2.22999305385689,2.54479245658553,2.72612851466224,2.70473517565727,4.02305499193615,2.03214184510432,0.828413819090904,2.44409281233857,5.05568693371269,2.09398844141286,2.23710224578399,4.32654880576884,3.69921348660952,2.53266949034537
"North Carolina",1.56811501311923,3.18277488436644,3.07748319583534,2.03263164447836,4.18343264780345,3.78418618852357,2.92886692922379,2.28926616345373,4.63161565472202,2.93739694422575,3.27562126065693,4.22104557561614,2.82051415754759,1.94099739154026,3.99408075685871,2.0075670323709,3.99040174235658,2.95622766733798,4.14391340550304,1.16225382301581,2.95762252984613,3.1607963609581,3.58228396373747,4.08862652744443,4.2395235556853,3.84936372352204,2.47878652176794,3.13560598479096,0,4.50563847869792,3.54240245570052,3.07316035296072,3.44388351088141,3.60390633192365,4.13058984488278,1.02777779583875,3.63036683676334,2.2875862955684,3.01050048072403,4.18291693163222,4.30928349018948,2.69469368987663,3.73236505241858,3.53023766853013,4.36015047182707,2.69753748986982
"North Dakota",3.9973899143037,5.12001534067675,4.83078518248821,2.82898676252522,5.74520332335136,4.70692274510309,5.92576211526486,4.79004296080481,3.12217458500849,4.52077036467168,2.60933625567854,1.02831691789497,2.41522400940838,4.62292402059154,0.714555993664849,4.65537307567144,3.26303886057689,5.02390728886248,1.76324556499366,4.41091047766347,3.71062620804671,1.79925798832591,1.86420052131612,5.93921906088781,0.900548159899354,3.82694430790995,4.85421011730414,4.83311748092279,4.50563847869792,0,3.07981090715448,2.76815168045675,3.22073692701645,2.5004699006001,3.31818959206601,4.43995992154677,1.01665682680732,3.99978709284308,4.49052723552844,3.09926705306487,0.959340356641146,2.89234516249927,3.10423253427962,1.25498505038001,1.58042484724262,2.37248971012339
"Ohio",2.22694452026067,3.51556552699078,2.31000555566263,1.91203880309684,2.95244667650443,2.07938095766615,3.32995945480639,2.76352922382111,1.1255714756646,1.77629339642128,0.678888715968037,2.11974258414689,1.72925447870264,2.46071377668242,2.49421620165354,2.45664912529545,1.13488691673111,2.40246967646189,1.49686477325698,3.34783958816787,1.11116469609549,1.60181502212933,1.23971164297987,3.23424358525767,2.26530417697428,1.08181122762246,2.44854662070955,2.0030120951709,3.54240245570052,3.07981090715448,0,0.633108406321947,1.21762435338285,0.764150977754663,1.930056901685,3.06541763151796,2.38154263148695,1.98090183857276,1.6455974617005,1.00266424520228,3.39948633745854,0.953504431083186,0.959026837240055,2.79428141359095,1.83330473942084,1.27726359470882
"Oklahoma",1.92683812631061,3.27647411318511,2.21774751814374,1.38794687189992,3.08377276693011,2.18449081231613,3.29779258894003,2.67880391166066,1.62027089441254,1.80633024321693,0.519085179344814,1.90351082571067,1.43061207612617,2.32232285670164,2.15073812380883,2.2082594623007,1.30643271368145,2.39236947066331,1.39646391288014,2.99372806916909,1.07487245072892,1.19210735490305,0.949547318370349,3.35010778945324,2.03154773691375,1.43191329736261,2.3009490176248,2.09330437665161,3.07316035296072,2.76815168045675,0.633108406321947,0,1.05527675571472,0.801448597340659,1.93339737999017,2.69751126907455,1.98692773364162,1.82392727127295,1.80243031209145,1.21341751870556,3.02826800456815,0.555091866245654,0.943159481315052,2.40351388821406,1.76055551998777,0.719681398468856
"Oregon",2.33689918553745,2.64696729598091,1.95911810907131,1.81096531167002,2.60056063162893,1.50408974021635,3.28658662748144,2.96543666013374,1.95886811114877,2.03577663557474,1.15783341403582,2.41962236182318,2.09980208598304,2.71416899981999,2.72789403816517,2.20941204436321,1.83006439986895,2.13034712753535,1.89176063801921,3.446886875833,0.985598092942675,1.76717809823421,1.54319188657183,2.81000812000457,2.58800671264356,1.92923296869065,2.12078231301075,2.22999305385689,3.44388351088141,3.22073692701645,1.21762435338285,1.05527675571472,0,1.69761497378807,2.60846634485824,2.96384265117343,2.44507912773615,2.00604773545277,2.07508185325067,1.25421173503048,3.34870280715642,1.24730272582847,0.580681727589972,2.96875871631386,2.36457050315214,1.57233633198265
"Pennsylvania",2.47201188557692,4.04283167935793,2.86053810198254,1.92760250950758,3.6410811648197,2.80154028770229,3.86985483537202,3.13647318733022,1.1848567686719,2.26848298272074,0.824111516538337,1.54003321432116,1.55784140354431,2.80068484023706,1.87895304917609,2.9026327399255,1.10751515512387,3.05026736423296,0.995518955797772,3.43250869916025,1.74776484107638,1.28911760888019,0.829860673851097,3.96728321197201,1.64897074781935,1.38675250202411,3.00565457058221,2.54479245658553,3.60390633192365,2.5004699006001,0.764150977754663,0.801448597340659,1.69761497378807,0,1.6023905045583,3.27918367623855,1.92880354849311,2.39417708777718,2.20995528847215,1.23126713308387,2.95159651601665,1.15352651710787,1.37533313813736,2.31740201069807,1.20067748731115,1.04224364524347
"Rhode Island",3.33426686417181,4.96227209998067,3.00242179746401,3.01756222642817,3.82084235687196,3.42023014482361,4.16585862297125,4.11909153151199,2.01893146593346,2.4673714724257,2.28456779105815,2.48210587803686,2.9783235203803,3.51080106965296,2.66240586806061,3.37642633552256,0.927196013166551,3.6706419521432,1.98299030432842,4.30440334188386,2.69841592895695,2.62234443899334,2.07857206898393,4.5418429107305,2.51671032401809,1.44475358848946,3.54087523564997,2.72612851466224,4.13058984488278,3.31818959206601,1.930056901685,1.93339737999017,2.60846634485824,1.6023905045583,0,4.10564056463215,3.04466195176478,3.51154756831111,2.83536618478342,1.72330624623522,4.00319328160525,2.38342113316595,2.1315863951319,3.44788680703094,2.02835351748549,2.12132039655194
"South Carolina",0.894337145644961,2.52129394743098,2.73881201953421,1.68178040839699,3.66929080679576,3.14790701962304,2.4663511337379,1.36851959658662,4.16616084900705,2.55145866699188,2.79422865572984,4.03582961695912,2.37107876868545,1.2809256677024,3.94020486945336,1.58016991485909,3.75518348340638,2.26999082546131,3.88275289306786,0.772854200152627,2.33593263029842,2.85497478989613,3.29675485115061,3.36807908549593,4.09330950796419,3.50168967533617,1.91570237838945,2.70473517565727,1.02777779583875,4.43995992154677,3.06541763151796,2.69751126907455,2.96384265117343,3.27918367623855,4.10564056463215,0,3.46602172694744,1.4058291802648,2.39048818049358,3.81979060478546,4.1957664128561,2.22172914545816,3.32178973827081,3.40544245441427,4.14754970651905,2.46501580334649
"South Dakota",3.03382819300845,4.17097595204656,4.01254281465343,1.84093846757773,4.94324077160367,3.88404822550605,5.00452956672433,3.81800086414127,2.73199772283919,3.71722799626678,1.80112616493083,0.965247485547535,1.491902930764,3.68439852739606,0.766804262454498,3.72588459241947,2.81611437836772,4.09443230534167,1.4596799051973,3.48501408342653,2.82760089623618,0.868614833698163,1.22663073100565,5.04185172923942,0.965235849714105,3.24774583870064,3.91976232495218,4.02305499193615,3.63036683676334,1.01665682680732,2.38154263148695,1.98692773364162,2.44507912773615,1.92880354849311,3.04466195176478,3.46602172694744,0,3.01126955727297,3.63615656959423,2.61439066052723,1.05977451404174,1.99159001968741,2.4493617425681,0.697962165862417,1.50373551841576,1.53081673945423
"Tennessee",0.824404951188349,2.29293929865461,2.2516782601418,1.40284485592084,2.9444399848138,2.15580940109173,2.34487591957308,1.0006352783177,3.01649440139501,1.90082662570136,1.78312888701689,3.3679658674377,1.71762238816597,1.1079080775979,3.49015012588662,1.48825716743047,2.91494835625061,1.56134923331257,3.05804773127814,1.78949276347202,1.22048873582201,2.21623030951788,2.5176778452237,2.61061737656639,3.47804121925208,2.57691470521341,1.5196467625762,2.03214184510432,2.2875862955684,3.99978709284308,1.98090183857276,1.82392727127295,2.00604773545277,2.39417708777718,3.51154756831111,1.4058291802648,3.01126955727297,0,1.43193911641972,2.82274884285358,3.86700736864993,1.33282481191412,2.34833970516124,3.1139109638295,3.37422313010485,1.90350982434178
"Texas",1.60380799451337,3.08274678728521,1.61801041229527,2.29440820099758,2.12994488562245,1.76763973507975,1.81763038699451,1.72114910554316,2.54760126518564,0.810118340478204,1.96697398799807,3.63298404160866,2.4709223157978,1.30364808045069,3.86851764558735,1.50832757694147,2.22989343173784,1.26371248777604,3.0948810620376,2.7735696683471,1.14524736425172,2.77294715646658,2.71084739266186,2.23552386700876,3.75203377900539,1.59775611301264,1.41120329158185,0.828413819090904,3.01050048072403,4.49052723552844,1.6455974617005,1.80243031209145,2.07508185325067,2.20995528847215,2.83536618478342,2.39048818049358,3.63615656959423,1.43193911641972,0,2.37436395036779,4.64534317357235,1.65802494526141,2.13683761509345,3.87262685744472,3.39834681816214,2.21418199209697
"Utah",3.03915258256154,3.8684893738254,2.47738139587584,2.54723300907364,3.01420010418966,2.20835241333127,3.86650225989342,3.66738579877973,1.05065838103118,2.24172294229426,1.37439171687271,2.1181800776366,2.49377862039936,3.29680450784795,2.56100497717723,2.98056116731177,0.884488074274555,2.89861062479589,1.38570082304239,4.18096036882909,1.72078952103931,2.04449801421533,1.42182275333615,3.52942636039911,2.27754802841124,1.29273033617972,2.93409460979211,2.44409281233857,4.18291693163222,3.09926705306487,1.00266424520228,1.21341751870556,1.25421173503048,1.23126713308387,1.72330624623522,3.81979060478546,2.61439066052723,2.82274884285358,2.37436395036779,0,3.5612948463113,1.72849801345771,0.678539411135469,3.18779289119114,1.77017057680477,1.81500520145669
"Vermont",3.90836400002115,4.78203682635567,4.98667403129758,2.69287241382608,5.89848243825273,4.78660692851454,5.95642243749565,4.63430036205301,3.62491717744914,4.75377761305342,2.80178733061623,1.68316073027026,2.34734890380144,4.59572570266109,1.3884614080858,4.64760081641403,3.82566229427843,5.02214496202643,2.33802206715795,4.14096755478499,3.7974785107401,1.88378789906007,2.23729207197957,5.92189440073089,1.62670000554457,4.29083728120639,4.84205777107805,5.05568693371269,4.30928349018948,0.959340356641146,3.39948633745854,3.02826800456815,3.34870280715642,2.95159651601665,4.00319328160525,4.1957664128561,1.05977451404174,3.86700736864993,4.64534317357235,3.5612948463113,0,2.99873513221286,3.39634327239604,1.02157139605929,2.28842857208343,2.57081949945549
"Virginia",1.46245215224736,2.99017676230118,2.26007431075508,0.971385029838263,3.1459090799001,2.21720595506976,3.09237476529897,2.19825723437411,2.00198186627613,1.81842174481634,0.601138447169607,2.13598206022375,1.06709974310509,1.92766876355478,2.30865261118375,1.97278823604923,1.8094916074347,2.20181763294411,1.7664327222234,2.49368775892546,0.958979333248998,1.13247877574253,1.22932519303305,3.23740738422382,2.25100241336839,1.77705629025783,2.09291338703238,2.09398844141286,2.69469368987663,2.89234516249927,0.953504431083186,0.555091866245654,1.24730272582847,1.15352651710787,2.38342113316595,2.22172914545816,1.99159001968741,1.33282481191412,1.65802494526141,1.72849801345771,2.99873513221286,0,1.35881416377396,2.28307775511836,2.09252810405507,0.692316316389135
"Washington",2.60817586500095,3.20713467928128,2.09883458257996,2.08626191261548,2.72066810078089,1.75967281936754,3.50236389252359,3.26099832609025,1.5122971760856,2.02763129127242,1.1208595386829,2.20410192466182,2.2194999797597,2.93209850394182,2.57422024994984,2.50113112662096,1.3186790277087,2.43540258954421,1.56459210323425,3.74971478561347,1.23500288285454,1.80243629825146,1.35688501265829,3.10648489304792,2.3722023898082,1.54357309100187,2.44002563578699,2.23710224578399,3.73236505241858,3.10423253427962,0.959026837240055,0.943159481315052,0.580681727589972,1.37533313813736,2.1315863951319,3.32178973827081,2.4493617425681,2.34833970516124,2.13683761509345,0.678539411135469,3.39634327239604,1.35881416377396,0,3.01303900902878,2.02439325461728,1.56178840168841
"West Virginia",3.06692693446238,4.41759693489611,4.39658746977481,1.95598244655273,5.36648677709572,4.32604357822105,5.19315587350796,3.79253845193635,3.19869718285254,4.01969084148875,2.1948255742053,1.49214155604633,1.49547526561326,3.72477090911162,1.15968997861243,3.94222430524686,3.29016738745049,4.37559047006499,2.02844101702338,3.27650364355451,3.18284520594115,1.24610399877486,1.76702460958737,5.38484286307877,1.43341440886876,3.64380051702391,4.18052779369913,4.32654880576884,3.53023766853013,1.25498505038001,2.79428141359095,2.40351388821406,2.96875871631386,2.31740201069807,3.44788680703094,3.40544245441427,0.697962165862417,3.1139109638295,3.87262685744472,3.18779289119114,1.02157139605929,2.28307775511836,3.01303900902878,0,1.98063809858868,1.83697842152675
"Wisconsin",3.44932511426208,4.78151470733397,3.86606948332175,2.56171220256753,4.64369700775952,3.71562363654686,5.02080422685151,4.16968649469276,1.6311179267428,3.41492636875572,1.65450571500454,0.615021267207913,2.06222240610448,3.89681451316311,1.11924258774389,3.93771545071004,1.84457348808713,4.13156003567987,0.484943785546614,4.22897859079944,2.76970415906754,1.46211045213345,0.95392209070659,4.98615621913681,0.696813876945725,2.41522753462012,4.05999286173622,3.69921348660952,4.36015047182707,1.58042484724262,1.83330473942084,1.76055551998777,2.36457050315214,1.20067748731115,2.02835351748549,4.14754970651905,1.50373551841576,3.37422313010485,3.39834681816214,1.77017057680477,2.28842857208343,2.09252810405507,2.02439325461728,1.98063809858868,0,1.71335598116457
"Wyoming",1.80361352738956,3.43495980924398,2.63493133288302,0.970354362721145,3.64547033576539,2.76576244000996,3.56695300895354,2.69968681182304,2.13625038989528,2.21437577454764,0.871623836410271,1.69029050332006,1.04960680983271,2.35103295697316,1.7362305422474,2.3598149323772,1.77387731597988,2.78134675916764,1.4589089906277,2.64016693979739,1.57713573266821,0.796558726489697,0.910925085417716,3.84743622130932,1.76457844497257,1.98288554433317,2.58050512176234,2.53266949034537,2.69753748986982,2.37248971012339,1.27726359470882,0.719681398468856,1.57233633198265,1.04224364524347,2.12132039655194,2.46501580334649,1.53081673945423,1.90350982434178,2.21418199209697,1.81500520145669,2.57081949945549,0.692316316389135,1.56178840168841,1.83697842152675,1.71335598116457,0
